"","District.","Property.Type.","avg_annual_appreciation"
"1","D1","Apartment",-0.0382733304571082
"2","D1","Condominium",-0.0596629842430014
"3","D10","Apartment",0.0526675434748143
"4","D10","Condominium",0.0764117807851831
"5","D10","Detached",-0.0618243063573289
"6","D10","Semi-detached",0.0327139872421483
"7","D10","Terrace",-0.145587077483789
"8","D11","Detached",-0.00243070258565915
"9","D11","Semi-detached",0.195830413076998
"10","D11","Terrace",0.241283979477166
"11","D13","Detached",0
"12","D13","Semi-detached",0
"13","D13","Terrace",0.067545377559763
"14","D14","Semi-detached",0
"15","D14","Terrace",0.16847434087748
"16","D15","Detached",0.0892521137279103
"17","D15","Semi-detached",0.0949005799706054
"18","D15","Terrace",0.0815239169923116
"19","D16","Apartment",0.039601960762825
"20","D16","Condominium",0.0677643247960775
"21","D16","Semi-detached",0.206188637235488
"22","D16","Terrace",0.180539206936179
"23","D17","Condominium",0.0709828220158264
"24","D17","Terrace",0.0374435630085574
"25","D18","Condominium",0.0601626607254988
"26","D18","Terrace",0
"27","D19","Apartment",0.0892276888087713
"28","D19","Condominium",0.0594274249513563
"29","D19","Detached",-0.0918577405063892
"30","D19","Semi-detached",0.0673217218832666
"31","D19","Terrace",0.113775146602816
"32","D2","Apartment",0.0997296055247965
"33","D20","Apartment",-0.0212308807905033
"34","D20","Condominium",0.0279219839374205
"35","D20","Semi-detached",0.103481864621711
"36","D20","Terrace",0.084116559450432
"37","D21","Apartment",0.0360652746567621
"38","D21","Condominium",0.0730522146310604
"39","D21","Semi-detached",0.0406827059356914
"40","D21","Terrace",0.0191811314638084
"41","D22","Apartment",0.016567220752893
"42","D22","Condominium",0.0515299741324209
"43","D22","Terrace",0.28964437486021
"44","D23","Apartment",0.0803693449555463
"45","D23","Condominium",0.0638651941297867
"46","D23","Semi-detached",0.203084485031561
"47","D23","Terrace",0.0126570296330761
"48","D25","Condominium",0.0837899989086975
"49","D25","Terrace",0
"50","D26","Condominium",0.012765675715157
"51","D26","Semi-detached",0
"52","D26","Terrace",-0.0607565904700749
"53","D27","Apartment",0.00126177836258458
"54","D27","Condominium",0.0510622986074266
"55","D27","Semi-detached",0.0769751002112829
"56","D27","Terrace",-0.082264014219179
"57","D28","Apartment",0.0272437181811786
"58","D28","Condominium",0.0869158291067551
"59","D28","Semi-detached",-0.0330529331672816
"60","D28","Terrace",0.197629555353592
"61","D3","Apartment",0.0886034787132163
"62","D3","Condominium",0.0410276122882552
"63","D4","Condominium",0.0500649448795446
"64","D4","Detached",0
"65","D5","Apartment",0.0460849482532974
"66","D5","Condominium",0.0391716006013277
"67","D5","Semi-detached",0
"68","D5","Terrace",0.369751053287345
"69","D7","Apartment",0.0227041658620079
"70","D8","Apartment",0.0396559130957827
"71","D8","Condominium",0.0402944290415123
"72","D9","Apartment",-0.014712618794064
"73","D9","Condominium",-0.0389330695187782
